Temp.,Smoke ,CO conc.,CO2 conc.,O2 conc.,Fire Label
25.8,0.299,0.074,1.03,21,0
25.8,0.296,0.078,1.03,21,0
25.9,0.299,0.077,1.03,21,0
25.8,0.296,0.073,1.03,20.9,0
25.9,0.302,0.077,1.03,21,0
25.8,0.298,0.081,1.03,21,0
25.8,0.299,0.08,1.03,20.9,0
25.8,0.298,0.081,1.03,21,0
25.8,0.298,0.079,1.03,21,0
25.9,0.298,0.073,1.03,21,0
25.8,0.301,0.07,1.03,21,0
25.8,0.302,0.078,1.03,21,0
25.8,0.298,0.078,1.03,20.9,0
25.9,0.299,0.074,1.03,20.9,0
25.7,0.299,0.072,1.03,21,0
25.8,0.299,0.077,1.03,21,0
25.8,0.301,0.078,1.03,21,0
25.7,0.298,0.068,1.03,20.9,0
25.8,0.296,0.071,1.03,21,0
25.8,0.296,0.08,1.03,21,0
25.8,0.295,0.078,1.03,20.9,0
25.9,0.298,0.078,1.03,20.9,0
25.9,0.301,0.08,1.03,21,0
25.7,0.299,0.071,1.03,21,0
25.6,0.298,0.069,1.03,20.9,0
25.7,0.298,0.066,1.03,20.9,0
25.8,0.296,0.08,1.03,21,0
25.8,0.301,0.077,1.03,20.9,0
25.9,0.303,0.076,1.03,20.9,0
25.9,0.299,0.077,1.03,21,0
25.9,0.296,0.077,1.03,20.9,0
25.9,0.301,0.074,1.02,21,0
25.9,0.299,0.071,1.03,21,0
25.9,0.305,0.071,1.02,20.9,0
25.9,0.299,0.079,1.03,20.9,0
25.9,0.301,0.076,1.03,20.9,0
25.9,0.302,0.077,1.03,21,0
26,0.302,0.083,1.03,20.9,0
26.1,0.302,0.083,1.03,20.9,0
26.1,0.302,0.079,1.02,21,0
26,0.299,0.082,1.03,20.9,0
25.9,0.301,0.079,1.03,21,0
25.9,0.299,0.073,1.03,21,0
25.9,0.299,0.069,1.03,20.9,0
25.9,0.295,0.072,1.03,20.9,0
26,0.298,0.08,1.03,21,0
26.1,0.299,0.07,1.02,21,0
25.9,0.298,0.068,1.03,20.9,0
25.9,0.296,0.079,1.03,20.9,0
